pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,ra,dec,FUVmag,e_FUVmag,NUVmag,e_NUVmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Bmag,e_Bmag,Vmag,e_Vmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,tic_Bmag,tic_e_Bmag,tic_Vmag,tic_e_Vmag,gaiamag,e_gaiamag,Tmag,e_Tmag
HIP 65 A b,HIP 65 A,4923860051276772608,4923860051276772608,201248411,0.1856063,-54.8308228,,,19.2287,0.0843,,,,,,,,,,,12.098999977111800,0.024000000208616300,10.991000175476100,0.02500000037252900,11.567999839782700,0.07199999690055850,10.592000007629400,0.07900000363588330,10.125,0.08100000023841860,,,,,,,,,,,8.922,0.019,8.4,0.031,8.29,0.025,8.121,0.023,8.177,0.019,8.095,0.019,8.123,0.205,12.099,0.024,11.0,0.03,10.5895,0.000446,9.9005,0.006
WASP-136 b,WASP-136,2441013811932929280,2441013811932929280,176220787,0.325761,-8.9262512,19.6423,0.1755,14.0747,0.0076,,,,,,,,,,,10.371000289917000,0.02800000086426740,9.940999984741210,0.04600000008940700,10.305999755859400,0.19099999964237200,9.876999855041500,0.03400000184774400,9.78499984741211,0.02199999988079070,9.7278,0.1715,9.6737,0.1654,10.2378,0.0109,,,11.7043,0.0016,9.016,0.03,8.792,0.026,8.805,0.024,8.727,0.023,8.754,0.02,8.747,0.029,8.191,,10.421,0.05,9.974,0.003,9.81929,0.000208,9.4834,0.007
KELT-1 b,KELT-1,2881784280929695360,2881784280929695360,432549364,0.3620995,39.3837953,,,,,,,,,,,,,,,11.189000129699700,0.04500000178813930,10.659000396728500,0.032999999821186100,10.916000366210900,0.02199999988079070,10.559000015258800,0.04399999976158140,10.440999984741200,0.03799999877810480,10.8098,0.0078,11.0312,0.034,10.0604,0.046,12.3883,0.001,10.8455,0.1055,9.682,0.022,9.534,0.03,9.437,0.019,9.414,0.022,9.419,0.02,9.386,0.034,8.851,,11.233,0.11,10.632,0.007,10.5905,0.000342,10.2242,0.0061
HATS-34 b,HATS-34,4904523077718046720,4904523077718046720,355703913,0.7744866,-62.4693167,,,20.0753,0.0896,,,,,,,,,,,14.567999839782700,0.04500000178813930,13.807999610900900,0.04500000178813930,14.15999984741210,0.019999999552965200,13.586999893188500,0.05400000140070920,13.401000022888200,0.06599999964237210,,,,,,,,,,,12.513,0.024,12.139,0.022,12.095,0.019,12.046,0.023,12.098,0.022,12.596,0.433,8.798,,14.568,0.045,13.857,0.137,13.679,0.000279,13.183,0.006
WASP-96 b,WASP-96,4990044668377961984,4990044668377961984,160148385,1.0465696,-47.3606352,,,18.6931,0.0488,,,,,,,,,,,13.26099967956540,0.01600000075995920,12.520999908447300,0.014999999664723900,12.85099983215330,0.01899999938905240,12.368000030517600,0.04600000008940700,12.151000022888200,0.12700000405311600,,,,,,,,,,,11.267,0.025,10.936,0.023,10.914,0.024,10.844,0.022,10.903,0.02,11.013,0.125,9.078,,13.261,0.016,12.569,0.069,12.3833,0.00026,11.9116,0.006
TOI-198 b,TOI-198,2333676738050041728,2333676738049780352,12421862,2.2715087,-27.1217452,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1317,0.0601,,,9.5985,0.001,9.684,0.001,8.655,0.024,8.143,0.026,7.856,0.021,,,,,,,,,13.198,0.019,11.688,0.014,10.9187,0.000655,9.92801,0.00725829
WASP-44 b,WASP-44,2424406513428936832,2424406513428936832,12862099,3.9032733,-11.9382645,,,19.4006,0.0547,15.166,0.00444872,13.6646,0.00290167,13.0208,0.00500556,12.8951,0.00380082,12.7993,0.0036031,13.822999954223600,0.06199999898672100,13.053999900817900,0.009999999776482580,13.399999618530300,0.0560000017285347,12.833999633789100,0.017999999225139600,12.694000244140600,0.054999999701976800,13.291,,12.887,,12.72,,12.645,,12.6044,0.005,11.702,0.023,11.408,0.025,11.341,0.026,11.246,0.022,11.301,0.021,11.345,0.191,8.756,,13.823,0.062,13.096,0.069,12.8964,0.000428,12.3993,0.0065
Gliese 12 b,Gliese 12,2768048564768256512,2768048564768256512,52005579,3.9579137,13.5576175,,,,,,,,,,,,,,,14.265000343322800,0.03799999877810480,12.600000381469700,0.041999999433755900,13.404999732971200,0.019999999552965200,11.963000297546400,0.04600000008940700,10.72700023651120,0.08699999749660490,17.5174,0.0089,16.754,0.2892,,,,,,,8.619,0.02,8.068,0.026,7.807,0.02,,,,,,,,,14.265,0.038,12.6,0.042,11.3963,0.001756,10.1769,0.00726589
WASP-32 b,WASP-32,2546413408888429696,2546413408888429696,427332229,3.9617073,1.2005122,22.7738,0.4371,16.221,0.0132,14.9543,0.0107649,11.7544,0.000559109,11.4517,0.000738748,11.3451,0.000547685,13.5211,0.0143218,12.107000350952100,0.03200000151991840,11.531000137329100,0.04500000178813930,11.772000312805200,0.0430000014603138,11.371999740600600,0.026000000536441800,11.343000411987300,0.16599999368190800,11.762,,11.456,,11.366,,11.352,,11.357,,10.503,0.022,10.248,0.028,10.161,0.023,10.144,0.023,10.185,0.019,10.125,0.065,8.976,,12.058,0.238,11.257,0.017,11.409,0.00075,11.021,0.0069
WASP-158 b,WASP-158,2424621502311961344,2424621502311961344,37718056,4.1463468,-10.9764226,,,17.045,0.0192,14.8961,0.00691497,12.71,0.00129378,12.1477,0.00105206,12.0377,0.00153692,13.333,0.00848841,12.755000114440900,0.029999999329447700,12.187999725341800,0.028999999165535000,12.423999786377000,0.029999999329447700,12.057000160217300,0.024000000208616300,11.989999771118200,0.08900000154972080,12.359,,12.104,,12.027,,12.012,,11.9997,0.001,11.178,0.026,10.957,0.023,10.881,0.025,10.855,0.024,10.899,0.02,10.942,0.135,8.871,,12.755,0.362,12.044,0.025,12.0911,0.000231,11.7083,0.0069
