# t m teff logg logL Lum R 
2.0000 0.070 1720. 5.36 -4.19 6.4565422903465E-5 0.091 
2.0000 0.072 1811. 5.37 -4.09 8.128305161641E-5 0.092 
2.0000 0.075 2083. 5.37 -3.84 0.00014454397707459 0.094 
2.0000 0.080 2348. 5.34 -3.57 0.00026915348039269 0.100 
2.0000 0.090 2643. 5.28 -3.25 0.00056234132519035 0.113 
2.0000 0.100 2810. 5.24 -3.06 0.00087096358995608 0.125 
2.0000 0.200 3261. 5.06 -2.32 0.0047863009232264 0.219 
2.0000 0.300 3415. 4.97 -1.98 0.010471285480509 0.295 
2.0000 0.400 3519. 4.89 -1.71 0.01949844599758 0.377 
2.0000 0.500 3679. 4.80 -1.45 0.035481338923358 0.466 
2.0000 0.600 3969. 4.72 -1.16 0.069183097091894 0.561 
2.0000 0.700 4396. 4.66 -0.86 0.13803842646029 0.646 
2.0000 0.800 4842. 4.61 -0.59 0.25703957827689 0.731 
2.0000 0.900 5244. 4.55 -0.33 0.4677351412872 0.833 
2.0000 1.000 5627. 4.48 -0.10 0.79432823472428 0.951 
2.0000 1.100 5945. 4.40 0.13 1.3489628825917 1.101 
2.0000 1.200 6202. 4.30 0.33 2.1379620895022 1.284 
2.0000 1.300 6403. 4.20 0.52 3.3113112148259 1.493 
2.0000 1.400 6464. 4.09 0.68 4.7863009232264 1.765 
