# t m teff logg logL Lum R 
0.0005 1.000 4397. 3.45 0.50 3.1622776601684 3.103 
0.0010 1.000 4377. 3.66 0.28 1.9054607179632 2.435 
0.0020 1.000 4350. 3.87 0.07 1.1748975549395 1.933 
0.0030 1.000 4330. 3.98 -0.05 0.89125093813375 1.687 
0.0040 1.000 4315. 4.06 -0.14 0.72443596007499 1.539 
0.0050 1.000 4310. 4.12 -0.20 0.63095734448019 1.441 
0.0080 1.000 4327. 4.23 -0.30 0.50118723362727 1.266 
0.0100 1.000 4363. 4.28 -0.34 0.45708818961488 1.198 
0.0150 1.000 4530. 4.35 -0.35 0.44668359215096 1.100 
0.0200 1.000 4793. 4.38 -0.28 0.52480746024977 1.066 
0.0250 1.000 5147. 4.38 -0.15 0.70794578438414 1.064 
0.0300 1.000 5520. 4.39 -0.03 0.93325430079699 1.061 
0.0400 1.000 5570. 4.52 -0.15 0.70794578438414 0.907 
0.0500 1.000 5536. 4.53 -0.17 0.67608297539198 0.902 
0.0800 1.000 5533. 4.52 -0.17 0.67608297539198 0.908 
0.1000 1.000 5541. 4.52 -0.16 0.69183097091894 0.910 
0.1200 1.000 5547. 4.52 -0.16 0.69183097091894 0.911 
0.2000 1.000 5567. 4.52 -0.15 0.70794578438414 0.914 
0.3000 1.000 5572. 4.51 -0.14 0.72443596007499 0.917 
0.4000 1.000 5574. 4.51 -0.14 0.72443596007499 0.919 
0.5000 1.000 5576. 4.51 -0.14 0.72443596007499 0.921 
0.6250 1.000 5580. 4.51 -0.14 0.72443596007499 0.923 
0.8000 1.000 5586. 4.50 -0.13 0.74131024130092 0.927 
1.0000 1.000 5592. 4.50 -0.13 0.74131024130092 0.931 
2.0000 1.000 5627. 4.48 -0.10 0.79432823472428 0.951 
3.0000 1.000 5661. 4.46 -0.06 0.87096358995608 0.974 
4.0000 1.000 5697. 4.44 -0.03 0.93325430079699 1.002 
5.0000 1.000 5732. 4.41 0.01 1.0232929922808 1.036 
8.0000 1.000 5772. 4.28 0.15 1.4125375446228 1.196 
