# t m teff logg logL Lum R 
3.0000 0.070 1650. 5.37 -4.27 5.3703179637025E-5 0.091 
3.0000 0.072 1793. 5.37 -4.11 7.7624711662869E-5 0.092 
3.0000 0.075 2052. 5.38 -3.87 0.00013489628825917 0.093 
3.0000 0.080 2343. 5.34 -3.58 0.00026302679918954 0.100 
3.0000 0.090 2644. 5.28 -3.25 0.00056234132519035 0.113 
3.0000 0.100 2810. 5.24 -3.06 0.00087096358995608 0.125 
3.0000 0.200 3261. 5.06 -2.32 0.0047863009232264 0.219 
3.0000 0.300 3416. 4.97 -1.97 0.010715193052376 0.297 
3.0000 0.400 3520. 4.88 -1.71 0.01949844599758 0.378 
3.0000 0.500 3679. 4.80 -1.45 0.035481338923358 0.468 
3.0000 0.600 3974. 4.71 -1.15 0.070794578438414 0.563 
3.0000 0.700 4407. 4.66 -0.85 0.14125375446228 0.648 
3.0000 0.800 4859. 4.61 -0.57 0.26915348039269 0.736 
3.0000 0.900 5270. 4.54 -0.31 0.48977881936845 0.845 
3.0000 1.000 5661. 4.46 -0.06 0.87096358995608 0.974 
3.0000 1.100 5974. 4.36 0.17 1.4791083881682 1.152 
3.0000 1.200 6191. 4.24 0.39 2.454708915685 1.377 
3.0000 1.300 6177. 4.10 0.56 3.630780547701 1.685 
