pl_name,hostname,gaia_dr3_id,ra,dec,fuvmag,e_fuvmag,nuvmag,e_nuvmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,vmag,e_vmag,bmag,e_bmag,gprimemag,e_gprimemag,rprimemag,e_rprimemag,iprimemag,e_iprimemag,gaiaGmag,e_gaiaGmag,gaiaBPmag,e_gaiaBPmag,gaiaRPmag,e_gaiaRPmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,ymag,e_ymag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag
HIP 65 A b,HIP 65 A,4923860051276772608,0.1856063,-54.8308228,,,19.2287,0.0843,,,,,,,,,,,10.991,0.025,12.099,0.024,11.568,0.072,10.592,0.079,10.125,0.081,10.5884664536,0.0164853638049058,11.2129162878,0.0297096342587041,9.835993699,0.0239810715598274,,,,,,,,,,,8.922,0.019,8.4,0.031,8.29,0.025,8.121,0.023,8.177,0.019,8.095,0.019,8.123,0.205
WASP-136 b,WASP-136,2441013811932929280,0.325761,-8.9262512,19.6423,0.1755,14.0747,0.0076,,,,,,,,,,,9.941,0.046,10.371,0.028,10.306,0.191,9.877,0.034,9.785,0.022,9.823879653,0.013185761797593,10.0600034733,0.0219107286575144,9.4310938196,0.0192088007864434,,,,,,,,,,,9.016,0.03,8.792,0.026,8.805,0.024,8.727,0.023,8.754,0.02,8.747,0.029,8.191,
KELT-1 b,KELT-1,2881784280929695360,0.3620995,39.3837953,,,,,,,,,,,,,,,10.659,0.033,11.189,0.045,10.916,0.022,10.559,0.044,10.441,0.038,10.5929731674,0.0129169566969647,10.8578539144,0.0189967652899723,10.1642245247,0.0188265134918355,10.8098001480103,0.0077920001931488,11.0312004089355,0.0339520014822483,10.0604000091553,0.0460419990122318,12.3882999420166,0.0010000000474974,10.8454999923706,0.105524003505707,9.682,0.022,9.534,0.03,9.437,0.019,9.414,0.022,9.419,0.02,9.386,0.034,8.851,
HATS-34 b,HATS-34,4904523077718046720,0.7744866,-62.4693167,,,20.0753,0.0896,,,,,,,,,,,13.808,0.045,14.568,0.045,14.16,0.02,13.587,0.054,13.401,0.066,13.666664886628,0.0144080962628303,14.053605201142,0.0318197884589568,13.11816908577,0.0256056059036627,,,,,,,,,,,12.513,0.024,12.139,0.022,12.095,0.019,12.046,0.023,12.098,0.022,12.596,0.433,8.798,
WASP-96 b,WASP-96,4990044668377961984,1.0465696,-47.3606352,,,18.6931,0.0488,,,,,,,,,,,12.521,0.015,13.261,0.016,12.851,0.019,12.368,0.046,12.151,0.127,12.37217540244,0.0161773841392153,12.73578627059,0.0250066007046302,11.849230518,0.0215884983778796,,,,,,,,,,,11.267,0.025,10.936,0.023,10.914,0.024,10.844,0.022,10.903,0.02,11.013,0.125,9.078,
TOI-198 b,TOI-198,2333676738050041728,2.2715087,-27.1217452,,,,,,,,,,,,,,,,,,,,,,,,,10.9157195975,0.0216516983515891,11.91054236708,0.0340607868063479,9.930158628,0.0222772229344682,,,,,,,,,,,8.655,0.024,8.143,0.026,7.856,0.021,,,,,,,,
WASP-44 b,WASP-44,2424406513428936832,3.9032733,-11.9382645,,,19.4006,0.0547,15.166,0.00444872,13.6646,0.00290167,13.0208,0.00500556,12.8951,0.00380082,12.7993,0.0036031,13.054,0.01,13.823,0.062,13.4,0.056,12.834,0.018,12.694,0.055,12.88363372706,0.019151182380922,13.2731064872,0.0362335302383612,12.33588001439,0.0330229854686273,13.2910003662109,,12.8870000839233,,12.7200002670288,,12.6450004577637,,12.6043996810913,0.005038000177592,11.702,0.023,11.408,0.025,11.341,0.026,11.246,0.022,11.301,0.021,11.345,0.191,8.756,
Gliese 12 b,Gliese 12,2768048564768256512,3.9579137,13.5576175,,,,,,,,,,,,,,,,,,,,,,,,,11.3993536063,0.0274372246338109,12.83051084179,0.0369114700049343,10.2271923884,0.025474417115386,,,,,,,,,,,8.619,0.02,8.068,0.026,7.807,0.02,,,,,,,,
WASP-32 b,WASP-32,2546413408888429696,3.9617073,1.2005122,22.7738,0.4371,16.221,0.0132,14.9543,0.0107649,11.7544,0.000559109,11.4517,0.000738748,11.3451,0.000547685,13.5211,0.0143218,11.531,0.045,12.107,0.032,11.772,0.043,11.372,0.026,11.343,0.166,11.40940235708,0.0189839031117291,11.6921183807,0.0215833034666344,10.96317504443,0.0187572283704715,,,,,,,,,,,10.503,0.022,10.248,0.028,10.161,0.023,10.144,0.023,10.185,0.019,10.125,0.065,8.976,
WASP-158 b,WASP-158,2424621502311961344,4.1463468,-10.9764226,,,17.045,0.0192,14.8961,0.00691497,12.71,0.00129378,12.1477,0.00105206,12.0377,0.00153692,13.333,0.00848841,12.188,0.029,12.755,0.03,12.424,0.03,12.057,0.024,11.99,0.089,12.08138745842,0.0145969264186141,12.36090866987,0.0237886890614835,11.64399566117,0.0204722135732326,12.3590002059937,,12.1040000915527,,12.0270004272461,,12.0120000839233,,11.9996995925903,0.0010450000409036,11.178,0.026,10.957,0.023,10.881,0.025,10.855,0.024,10.899,0.02,10.942,0.135,8.871,
